"Name","Bytes","LastWriteUtc","Sha256"
"amd_fidelityfx_dx12.dll","6609624","2026-06-25T14:22:28.6022105Z","9C2BA6727683804242980BCDDC5C1EE4E16357B4BD17C8A93CE94614ED149780"
"ForeverWinter-Win64-Shipping.exe","169513984","2026-07-07T20:47:57.9612755Z","CAEFF67EBCFD77BC63578633CE587568B449C88FAA82A7914C6EA661A10A1B1B"
"OpenColorIO_2_3.dll","4274688","2026-06-25T14:22:28.6032092Z","296E59B29664F3B36FBB480DC1DEF106D22787D6B9B1FDD1E9E59D6EECADE981"
"OpenImageDenoise.dll","49771920","2026-06-25T14:22:28.6032092Z","7D47EA2DED08F14FF0565E3636D9E72F52A2A70BCD94C8331053B3814E17C7C5"
"tbb.dll","213504","2026-06-25T14:23:48.0370298Z","D5DB1D48D7025F2C59704DAD2E9BA8DFC5562C134FA49D8373B823CF9CCD1957"
"tbb12.dll","293376","2026-06-25T14:22:28.6042131Z","DE25BC26F71C5FA53B585116DB11D643DC63373FAB094E5D786A2EF7EB50786D"
"tbbmalloc.dll","55296","2026-06-25T14:24:13.7969682Z","C14EA6F54CDFE42B7E87455E220589799B764C5335DD3665E7343A404AFADB34"
