"Name","Bytes","LastWriteUtc","Sha256"
"amd_fidelityfx_dx12.dll","6609624","2026-06-24T03:35:11.3546448Z","9C2BA6727683804242980BCDDC5C1EE4E16357B4BD17C8A93CE94614ED149780"
"bitfix.txt","843","2026-07-12T13:21:57.2645048Z","1FBF29194FA33B03B5A643491780FA9DBFA154D760CE3E488F178DEB0422618B"
"dsound.dll","1208832","2025-11-12T01:33:08.0000000Z","BB97FC42A2FD1A15ABB76C7A2A78C719F8833D735C5B45B318A19626D8A78FEF"
"ForeverWinter-Win64-Shipping.exe","169584128","2026-08-01T10:42:40.8122733Z","E4E76D0E37782EA8E846CF21369BDDEB230BA219999B67A4C03CEBDF55A41C1E"
"OpenColorIO_2_3.dll","4274688","2026-06-24T03:35:11.3586470Z","296E59B29664F3B36FBB480DC1DEF106D22787D6B9B1FDD1E9E59D6EECADE981"
"OpenImageDenoise.dll","49771920","2026-06-24T03:35:11.3596418Z","7D47EA2DED08F14FF0565E3636D9E72F52A2A70BCD94C8331053B3814E17C7C5"
"tbb.dll","213504","2026-06-24T03:36:38.3962365Z","D5DB1D48D7025F2C59704DAD2E9BA8DFC5562C134FA49D8373B823CF9CCD1957"
"tbb12.dll","293376","2026-06-24T03:35:11.3630795Z","DE25BC26F71C5FA53B585116DB11D643DC63373FAB094E5D786A2EF7EB50786D"
"tbbmalloc.dll","55296","2026-06-24T03:36:37.5534637Z","C14EA6F54CDFE42B7E87455E220589799B764C5335DD3665E7343A404AFADB34"
